Row no.,Region,Month:,Year:,Year & moths, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
161,Delhi,2,2021,202102, 28-02-2021, M,7.99,5176344,34.9
162,Delhi,3,2021,202103, 31-03-2021, M,9.41,5123006,35
163,Delhi,4,2021,202104, 30-04-2021, M,27.32,4160172,35.33
164,Delhi,5,2021,202105, 31-05-2021, M,45.56,2879334,32.56
165,Delhi,6,2021,202106, 30-06-2021, M,8.8,5089957,34.28
166,Delhi,7,2021,202107, 31-07-2021, M,10.7,5013429,34.4
167,Delhi,8,2021,202108, 31-08-2021, M,11.57,5058858,34.97
168,Delhi,9,2021,202109, 30-09-2021, M,16.81,5232193,38.35
169,Delhi,10,2021,202110, 31-10-2021, M,10.97,5389286,36.82
170,Delhi,11,2021,202111, 30-11-2021, M,9.3,4983968,33.34
171,Delhi,12,2021,202112, 31-12-2021, M,9.84,5180463,34.77
172,Delhi,1,2022,202201, 31-01-2022, M,14.08,5363152,37.68
173,Delhi,2,2022,202202, 28-02-2022, M,9.31,5359184,35.59
174,Delhi,3,2022,202203, 31-03-2022, M,8.86,5171901,34.09
175,Delhi,4,2022,202204, 30-04-2022, M,11.18,5376548,36.28
176,Delhi,5,2022,202205, 31-05-2022, M,13.64,5432451,37.6
177,Delhi,6,2022,202206, 30-06-2022, M,10.22,5337256,35.45
178,Delhi,7,2022,202207, 31-07-2022, M,8.92,5215741,34.06
179,Delhi,8,2022,202208, 31-08-2022, M,8.17,5421723,35.03
180,Delhi,9,2022,202209, 30-09-2022, M,9.62,5641051,36.94
181,Delhi,10,2022,202210, 31-10-2022, M,6.68,5432294,34.36
182,Delhi,11,2022,202211, 30-11-2022, M,12.64,5559098,37.47
183,Delhi,12,2022,202212, 31-12-2022, M,20.83,5635847,41.81
184,Delhi,1,2023,202301, 31-01-2023, M,16.7,5618417,39.52
185,Goa,1,2020,202001, 31-01-2020, M,8.89,416750,35.73
186,Goa,2,2020,202002, 29-02-2020, M,2.81,478068,38.38
187,Goa,3,2020,202003, 31-03-2020, M,5.25,411761,33.88
188,Goa,4,2020,202004, 30-04-2020, M,13.31,500614,44.97
189,Goa,5,2020,202005, 31-05-2020, M,21.25,378244,37.36
190,Goa,6,2020,202006, 30-06-2020, M,9.96,489111,42.21
191,Goa,7,2020,202007, 31-07-2020, M,17.07,458876,42.94
192,Goa,8,2020,202008, 31-08-2020, M,16.21,473016,43.76
193,Goa,9,2020,202009, 30-09-2020, M,15.38,425004,38.89
194,Goa,10,2020,202010, 31-10-2020, M,10.95,388583,33.75
195,Goa,11,2020,202011, 30-11-2020, M,15.88,376472,34.58
196,Goa,12,2020,202012, 31-12-2020, M,13.2,439150,39.05
197,Goa,1,2021,202101, 31-01-2021, M,16.01,424096,38.93
198,Goa,2,2021,202102, 28-02-2021, M,20.58,438421,42.51
199,Goa,3,2021,202103, 31-03-2021, M,22.08,393170,38.81
200,Goa,4,2021,202104, 30-04-2021, M,25.73,366499,37.92
201,Goa,5,2021,202105, 31-05-2021, M,20.49,450287,43.47
202,Goa,6,2021,202106, 30-06-2021, M,17.89,405565,37.87
203,Goa,7,2021,202107, 31-07-2021, M,21.71,398314,38.96
204,Goa,8,2021,202108, 31-08-2021, M,12.61,459677,40.24
205,Goa,9,2021,202109, 30-09-2021, M,7.44,413634,34.15
206,Goa,10,2021,202110, 31-10-2021, M,12.03,420856,36.51
207,Goa,11,2021,202111, 30-11-2021, M,12.65,413392,36.08
208,Goa,12,2021,202112, 31-12-2021, M,11.99,392368,33.95
209,Goa,1,2022,202201, 31-01-2022, M,11.58,399352,34.36
210,Goa,2,2022,202202, 28-02-2022, M,12.04,376336,32.51
211,Goa,3,2022,202203, 31-03-2022, M,12.74,422073,36.71
212,Goa,4,2022,202204, 30-04-2022, M,15.49,435354,39.06
213,Goa,5,2022,202205, 31-05-2022, M,13.42,374329,32.74
214,Goa,6,2022,202206, 30-06-2022, M,5.45,425949,34.08
215,Goa,7,2022,202207, 31-07-2022, M,13.7,373464,32.7
216,Goa,8,2022,202208, 31-08-2022, M,13.67,410887,35.92
217,Goa,9,2022,202209, 30-09-2022, M,10.86,392383,33.19
218,Goa,11,2022,202211, 30-11-2022, M,13.64,385967,33.62
219,Goa,12,2022,202212, 31-12-2022, M,9.9,426103,35.54
220,Goa,1,2023,202301, 31-01-2023, M,16.21,324404,29.06
221,Gujarat,1,2020,202001, 31-01-2020, M,5.54,24126346,48.49
222,Gujarat,2,2020,202002, 29-02-2020, M,6.38,24757795,50.11
223,Gujarat,3,2020,202003, 31-03-2020, M,6.66,23566641,47.75
224,Gujarat,4,2020,202004, 30-04-2020, M,18.71,15288878,35.5
225,Gujarat,5,2020,202005, 31-05-2020, M,12.11,17836936,38.23
226,Gujarat,6,2020,202006, 30-06-2020, M,3.2,23657055,45.96
227,Gujarat,7,2020,202007, 31-07-2020, M,1.84,24276120,46.41
228,Gujarat,8,2020,202008, 31-08-2020, M,1.87,22817232,43.55
229,Gujarat,9,2020,202009, 30-09-2020, M,3.41,24978668,48.34
230,Gujarat,10,2020,202010, 31-10-2020, M,4.03,25970259,50.49
231,Gujarat,11,2020,202011, 30-11-2020, M,3.86,24161076,46.79
232,Gujarat,12,2020,202012, 31-12-2020, M,3.05,21483898,41.18
233,Gujarat,1,2021,202101, 31-01-2021, M,3.19,24009720,46
234,Gujarat,2,2021,202102, 28-02-2021, M,3.17,24070070,46.02
235,Gujarat,3,2021,202103, 31-03-2021, M,2.16,24357415,46
236,Gujarat,4,2021,202104, 30-04-2021, M,1.77,24320086,45.66
237,Gujarat,5,2021,202105, 31-05-2021, M,2.34,24179141,45.57
238,Gujarat,6,2021,202106, 30-06-2021, M,1.79,24842134,46.46
239,Gujarat,7,2021,202107, 31-07-2021, M,1.82,25227354,47.1
240,Gujarat,8,2021,202108, 31-08-2021, M,1.61,23838107,44.33
241,Gujarat,9,2021,202109, 30-09-2021, M,1.29,25252205,46.71
242,Gujarat,10,2021,202110, 31-10-2021, M,2.39,25890884,48.34
243,Gujarat,11,2021,202111, 30-11-2021, M,1.45,25500373,47.06
244,Gujarat,12,2021,202112, 31-12-2021, M,1.63,24770121,45.71
245,Gujarat,1,2022,202201, 31-01-2022, M,1.17,25174157,46.15
246,Gujarat,2,2022,202202, 28-02-2022, M,2.47,26662328,49.44
247,Gujarat,3,2022,202203, 31-03-2022, M,1.8,25308074,46.51
248,Gujarat,4,2022,202204, 30-04-2022, M,1.55,25492174,46.64
249,Gujarat,5,2022,202205, 31-05-2022, M,2.1,25400738,46.64
250,Gujarat,6,2022,202206, 30-06-2022, M,3.01,25247094,46.7
251,Gujarat,7,2022,202207, 31-07-2022, M,2.24,25906215,47.45
252,Gujarat,8,2022,202208, 31-08-2022, M,2.63,23595197,43.3
253,Gujarat,9,2022,202209, 30-09-2022, M,1.56,25465156,46.14
254,Gujarat,10,2022,202210, 31-10-2022, M,1.66,27158425,49.16
255,Gujarat,11,2022,202211, 30-11-2022, M,2.49,25218911,45.95
256,Gujarat,12,2022,202212, 31-12-2022, M,2.31,25502190,46.29
257,Gujarat,1,2023,202301, 31-01-2023, M,2.38,25126499,45.54
258,Haryana,1,2020,202001, 31-01-2020, M,20.34,7693231,43.36
259,Haryana,2,2020,202002, 29-02-2020, M,25.77,7322942,44.21
260,Haryana,3,2020,202003, 31-03-2020, M,25.05,6641555,39.63
261,Haryana,4,2020,202004, 30-04-2020, M,43.22,5647630,44.38
262,Haryana,5,2020,202005, 31-05-2020, M,29.02,6437868,40.39
263,Haryana,6,2020,202006, 30-06-2020, M,26.7,6951934,42.14
264,Haryana,7,2020,202007, 31-07-2020, M,24.18,6800652,39.77
265,Haryana,8,2020,202008, 31-08-2020, M,33.5,7113788,47.32
266,Haryana,9,2020,202009, 30-09-2020, M,19.33,7190435,39.35
267,Haryana,10,2020,202010, 31-10-2020, M,27.32,6686733,40.53
268,Haryana,11,2020,202011, 30-11-2020, M,25.61,7054038,41.68
269,Haryana,12,2020,202012, 31-12-2020, M,32.49,6723049,43.69
270,Haryana,1,2021,202101, 31-01-2021, M,17.65,7510342,39.92
271,Haryana,2,2021,202102, 28-02-2021, M,26.31,6808544,40.36
272,Haryana,3,2021,202103, 31-03-2021, M,27.58,7255469,43.67
273,Haryana,4,2021,202104, 30-04-2021, M,35.13,6860556,46
274,Haryana,5,2021,202105, 31-05-2021, M,28.73,6425654,39.13
275,Haryana,6,2021,202106, 30-06-2021, M,27.84,6772377,40.65
276,Haryana,7,2021,202107, 31-07-2021, M,28.08,6997825,42.05
277,Haryana,8,2021,202108, 31-08-2021, M,35.7,6933829,46.51
278,Haryana,9,2021,202109, 30-09-2021, M,21.13,7360554,40.16
279,Haryana,10,2021,202110, 31-10-2021, M,30.69,6828800,42.31
280,Haryana,11,2021,202111, 30-11-2021, M,29.2,7024063,42.51
281,Haryana,12,2021,202112, 31-12-2021, M,34.07,7149677,46.37
282,Haryana,1,2022,202201, 31-01-2022, M,23.36,7408951,41.25
283,Haryana,2,2022,202202, 28-02-2022, M,30.94,6895203,42.52
284,Haryana,3,2022,202203, 31-03-2022, M,26.5,7009253,40.52
285,Haryana,4,2022,202204, 30-04-2022, M,34.48,7122831,46.1
286,Haryana,5,2022,202205, 31-05-2022, M,24.6,7351377,41.25
287,Haryana,6,2022,202206, 30-06-2022, M,30.53,6782012,41.22
288,Haryana,7,2022,202207, 31-07-2022, M,26.92,7056243,40.68
289,Haryana,8,2022,202208, 31-08-2022, M,37.34,7112319,47.72
290,Haryana,9,2022,202209, 30-09-2022, M,22.94,7378110,40.17
291,Haryana,10,2022,202210, 31-10-2022, M,31.67,6972544,42.71
292,Haryana,11,2022,202211, 30-11-2022, M,30.55,7301170,43.91
293,Haryana,12,2022,202212, 31-12-2022, M,37.38,7218479,48.05
294,Haryana,1,2023,202301, 31-01-2023, M,21.7,7756570,41.2
295,Himachal Pradesh,1,2020,202001, 31-01-2020, M,16.83,2287632,45.5
296,Himachal Pradesh,2,2020,202002, 29-02-2020, M,16.84,2180268,43.3
297,Himachal Pradesh,3,2020,202003, 31-03-2020, M,18.76,2021858,41.04
298,Himachal Pradesh,4,2020,202004, 30-04-2020, M,2.2,1131128,19.04
299,Himachal Pradesh,5,2020,202005, 31-05-2020, M,26.95,1897639,42.7
300,Himachal Pradesh,6,2020,202006, 30-06-2020, M,13.47,2199683,41.72
301,Himachal Pradesh,7,2020,202007, 31-07-2020, M,24.31,2229456,48.25
302,Himachal Pradesh,8,2020,202008, 31-08-2020, M,15.79,2029740,39.42
303,Himachal Pradesh,9,2020,202009, 30-09-2020, M,11.41,2240699,41.3
304,Himachal Pradesh,10,2020,202010, 31-10-2020, M,13.46,2123965,40.01
305,Himachal Pradesh,11,2020,202011, 30-11-2020, M,15.86,1968783,38.08
306,Himachal Pradesh,12,2020,202012, 31-12-2020, M,7.86,2174653,38.35
307,Himachal Pradesh,1,2021,202101, 31-01-2021, M,11.55,2248174,41.23
308,Himachal Pradesh,2,2021,202102, 28-02-2021, M,15.57,2075852,39.83
309,Himachal Pradesh,3,2021,202103, 31-03-2021, M,14.24,1927818,36.35
310,Himachal Pradesh,4,2021,202104, 30-04-2021, M,11.06,2000101,36.31
311,Himachal Pradesh,5,2021,202105, 31-05-2021, M,7.72,2226706,38.89
312,Himachal Pradesh,6,2021,202106, 30-06-2021, M,16.89,1952465,37.8
313,Himachal Pradesh,7,2021,202107, 31-07-2021, M,14.98,2025194,38.27
314,Himachal Pradesh,8,2021,202108, 31-08-2021, M,3.74,2095797,34.92
315,Himachal Pradesh,9,2021,202109, 30-09-2021, M,8.68,1939804,34.01
316,Himachal Pradesh,10,2021,202110, 31-10-2021, M,14.05,1907142,35.47
317,Himachal Pradesh,11,2021,202111, 30-11-2021, M,13.78,1881626,34.83
318,Himachal Pradesh,12,2021,202112, 31-12-2021, M,9.37,1957488,34.42
319,Himachal Pradesh,1,2022,202201, 31-01-2022, M,13.81,1822901,33.65
320,Himachal Pradesh,2,2022,202202, 28-02-2022, M,11.79,1794606,32.32
321,Himachal Pradesh,3,2022,202203, 31-03-2022, M,11.69,1711147,30.73
322,Himachal Pradesh,4,2022,202204, 30-04-2022, M,0.22,1908765,30.29
323,Himachal Pradesh,5,2022,202205, 31-05-2022, M,9.58,2022323,35.35
324,Himachal Pradesh,6,2022,202206, 30-06-2022, M,10.68,1945233,34.37
325,Himachal Pradesh,7,2022,202207, 31-07-2022, M,6.32,2609172,43.88
326,Himachal Pradesh,8,2022,202208, 31-08-2022, M,7.28,1575872,26.73
327,Himachal Pradesh,9,2022,202209, 30-09-2022, M,8.62,2281366,39.21
328,Himachal Pradesh,10,2022,202210, 31-10-2022, M,9.69,1999716,34.72
329,Himachal Pradesh,11,2022,202211, 30-11-2022, M,8.81,2075669,35.63
330,Himachal Pradesh,12,2022,202212, 31-12-2022, M,7.63,2242183,37.93
331,Himachal Pradesh,1,2023,202301, 31-01-2023, M,10.03,2182799,37.85
332,Jammu & Kashmir,1,2020,202001, 31-01-2020, M,21.08,3453025,42.2
